t,CH1 [uV],CH2 [uV]
0,5080000,5040000
1,5000000,4920000
2,5080000,5040000
3,5000000,4920000
4,5080000,5040000
5,5000000,4920000
6,5000000,5040000
7,5080000,4920000
8,5000000,5040000
9,5080000,4920000
10,5000000,4920000
11,5080000,5040000
12,5000000,5040000
13,5080000,4920000
14,5000000,5040000
15,5080000,4920000
16,5000000,5040000
17,5080000,4920000
18,5000000,5040000
19,5080000,4920000
20,5000000,5040000
21,5080000,4920000
22,5000000,4920000
23,5080000,5040000
24,5000000,4920000
25,5080000,5040000
26,5080000,5040000
27,5000000,4920000
28,5000000,4920000
29,5080000,5040000
30,5080000,5040000
31,5000000,4920000
32,5000000,4920000
33,5080000,5040000
34,5000000,5040000
35,5080000,4920000
36,5000000,4920000
37,5080000,5040000
38,5000000,5040000
39,5080000,4920000
40,5000000,5040000
41,5080000,4920000
42,5000000,5040000
43,5080000,4920000
44,5000000,5040000
45,5080000,4920000
46,5000000,4920000
47,5080000,5040000
48,5000000,4920000
49,5080000,5040000
50,5000000,5040000
51,5080000,4920000
52,5000000,5040000
53,5080000,4920000
54,5000000,5040000
55,5080000,4920000
56,5000000,5040000
57,5080000,4920000
58,5000000,5040000
59,5080000,4920000
60,5000000,5040000
61,5080000,4920000
62,5000000,5040000
63,5080000,4920000
64,5000000,4920000
65,5080000,5040000
66,5000000,5040000
67,5080000,4920000
68,5080000,5040000
69,5000000,4920000
70,5000000,5040000
71,5080000,4920000
72,5000000,5040000
73,5080000,4920000
74,5000000,4920000
75,5080000,5040000
76,5080000,5040000
77,5000000,4920000
78,5000000,5040000
79,5080000,4920000
80,5080000,5040000
81,5000000,4920000
82,5000000,4920000
83,5080000,5040000
84,5000000,5040000
85,5080000,4920000
86,5080000,5040000
87,5000000,4920000
88,5000000,5040000
89,5080000,4920000
90,5000000,5040000
91,5080000,4920000
92,5000000,5040000
93,5080000,4920000
94,5000000,5040000
95,5080000,4920000
96,5000000,5040000
97,5080000,4920000
98,5000000,5040000
99,5080000,4920000
100,5000000,5040000
101,5080000,4920000
102,5000000,5040000
103,5080000,4920000
104,5080000,5040000
105,5000000,4920000
106,5000000,5040000
107,5080000,4920000
108,5000000,5040000
109,5080000,4920000
110,5000000,4920000
111,5080000,5040000
112,5000000,4960000
113,5080000,5040000
114,5000000,5040000
115,5080000,4920000
116,5000000,5040000
117,5080000,4920000
118,5000000,4920000
119,5080000,5040000
120,5000000,4920000
121,5080000,5040000
122,5000000,5040000
123,5080000,4920000
124,5000000,5040000
125,5080000,4920000
126,5000000,4920000
127,5080000,5040000
128,5000000,5040000
129,5080000,4920000
130,5000000,5040000
131,5080000,4920000
132,5000000,5040000
133,5080000,4920000
