CH1 [uVolt],CH2 [uVolt]
-80000,24000
160000,-16000
-80000,24000
160000,-16000
160000,24000
-80000,-16000
-80000,-8000
160000,24000
80000,-8000
-80000,24000
-80000,24000
160000,-16000
160000,-8000
-80000,24000
160000,-8000
-80000,24000
80000,-8000
-80000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,-16000
160000,24000
160000,-8000
-80000,24000
80000,-8000
-80000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-16000
160000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,16000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-16000
160000,24000
-80000,-8000
160000,24000
80000,-16000
-80000,24000
80000,16000
-80000,-16000
80000,-8000
-80000,24000
-80000,-8000
160000,24000
-80000,-16000
160000,24000
-80000,24000
160000,-16000
160000,-8000
-80000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
160000,24000
-80000,-16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-16000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,16000
160000,-16000
-80000,24000
160000,-16000
-80000,-16000
160000,24000
-80000,16000
160000,-8000
-80000,24000
160000,-16000
160000,-8000
-80000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-16000
160000,24000
80000,16000
-80000,-8000
-80000,-16000
160000,24000
-80000,-8000
160000,24000
80000,24000
-80000,-16000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,24000
160000,-16000
160000,-8000
-80000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
80000,-8000
-80000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-16000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
160000,-8000
-80000,24000
-80000,-8000
160000,24000
80000,24000
-80000,-16000
-80000,16000
160000,-8000
-80000,24000
160000,-16000
-80000,-8000
160000,16000
-80000,-8000
160000,24000
80000,24000
-80000,-16000
-80000,24000
160000,-16000
-80000,-8000
160000,16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
160000,-8000
-80000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
-80000,24000
160000,-16000
-80000,-16000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,16000
80000,-8000
-80000,24000
80000,16000
-80000,-16000
-80000,24000
160000,-16000
-80000,-16000
160000,24000
-80000,16000
160000,-8000
-80000,-8000
160000,24000
-80000,-16000
160000,24000
80000,-8000
-80000,24000
-80000,-8000
160000,24000
-80000,24000
160000,-16000
80000,-16000
-80000,24000
-80000,-16000
160000,24000
-80000,16000
160000,-8000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-16000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,16000
160000,-8000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,16000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,-8000
160000,24000
-80000,16000
160000,-8000
-80000,-16000
10400000,72000
10240000,48000
10000000,168000
10080000,144000
10240000,256000
10080000,240000
10240000,344000
10080000,328000
10240000,432000
10240000,416000
-240000,488000
160000,472000
-80000,432000
160000,464000
-80000,432000
-80000,456000
160000,424000
160000,456000
-80000,416000
160000,416000
-80000,448000
-80000,440000
160000,408000
-80000,440000
160000,408000
-80000,432000
160000,400000
-80000,432000
160000,392000
-80000,424000
160000,392000
160000,416000
-80000,384000
80000,416000
-80000,384000
-80000,416000
160000,376000
160000,408000
-80000,376000
-80000,408000
160000,368000
-80000,400000
160000,368000
-80000,368000
160000,400000
80000,392000
-80000,360000
-80000,392000
160000,352000
160000,384000
-80000,352000
-80000,352000
160000,384000
-80000,376000
160000,344000
-80000,376000
160000,344000
-80000,344000
160000,376000
-80000,368000
160000,336000
-80000,336000
160000,368000
-80000,360000
160000,328000
-80000,328000
160000,360000
-80000,360000
160000,320000
-80000,352000
160000,320000
-80000,352000
160000,312000
-80000,344000
160000,312000
-80000,344000
160000,312000
-80000,336000
160000,312000
-80000,336000
160000,304000
-80000,304000
160000,336000
-80000,328000
160000,296000
80000,328000
-80000,296000
-80000,328000
160000,288000
-80000,320000
160000,288000
-80000,320000
160000,288000
-80000,320000
160000,280000
-80000,320000
160000,280000
-80000,312000
160000,280000
80000,280000
-80000,312000
80000,304000
-80000,272000
-80000,272000
160000,304000
-80000,272000
160000,304000
-80000,296000
160000,264000
-80000,264000
160000,296000
-80000,288000
160000,264000
-80000,288000
160000,256000
-80000,256000
160000,288000
-80000,256000
160000,288000
-80000,280000
160000,248000
-80000,280000
160000,248000
-80000,280000
160000,248000
-80000,272000
160000,240000
-80000,272000
160000,240000
-80000,272000
160000,240000
-80000,240000
160000,272000
-80000,264000
160000,240000
-80000,232000
160000,264000
160000,256000
-80000,232000
-80000,256000
160000,224000
80000,256000
-80000,224000
-80000,256000
160000,224000
-80000,224000
160000,256000
-80000,248000
160000,224000
-80000,248000
160000,216000
-80000,248000
160000,216000
-80000,248000
160000,208000
-80000,240000
160000,208000
160000,240000
-80000,208000
-80000,240000
160000,208000
-80000,208000
160000,240000
-80000,232000
160000,200000
160000,232000
-80000,192000
-80000,200000
160000,232000
-80000,232000
160000,192000
-80000,224000
160000,192000
-80000,224000
160000,192000
-80000,224000
160000,184000
-80000,224000
160000,184000
-80000,192000
160000,224000
160000,216000
-80000,184000
-80000,216000
160000,184000
-80000,184000
160000,216000
-80000,184000
160000,216000
-80000,208000
160000,176000
-80000,208000
160000,176000
-80000,176000
160000,208000
-80000,208000
160000,168000
-80000,200000
160000,176000
-80000,200000
160000,168000
-80000,168000
160000,200000
80000,168000
-80000,200000
-80000,168000
160000,200000
-80000,192000
160000,160000
-80000,192000
160000,160000
-80000,160000
160000,192000
80000,160000
-80000,192000
-80000,160000
160000,184000
-80000,184000
160000,160000
-80000,184000
160000,152000
-80000,184000
160000,152000
-80000,152000
160000,184000
-80000,152000
160000,184000
-80000,152000
160000,184000
-80000,176000
160000,152000
-80000,176000
160000,144000
-80000,176000
160000,144000
160000,144000
-80000,176000
-80000,144000
160000,176000
80000,168000
-80000,144000
80000,168000
-80000,136000
80000,168000
-80000,136000
-80000,168000
